ID,GEOGRAPHY,TOTAL,HISPANIC,NON_HISPANIC,WHITE,BLACK,NATIVE,ASIAN
37001,"Alamance County, North Carolina",151131,16639,134492,101718,27985,542,1806
37003,"Alexander County, North Carolina",37198,1601,35597,32671,2025,84,357
37005,"Alleghany County, North Carolina",11155,1004,10151,9862,133,18,53
37007,"Anson County, North Carolina",26948,812,26136,12344,13038,148,281
37009,"Ashe County, North Carolina",27281,1311,25970,25420,148,56,105
37011,"Avery County, North Carolina",17797,797,17000,16029,706,66,56
37013,"Beaufort County, North Carolina",47759,3166,44593,31705,12105,116,158
37015,"Bertie County, North Carolina",21282,267,21015,7393,13252,88,103
37017,"Bladen County, North Carolina",35190,2502,32688,19242,12202,712,67
37019,"Brunswick County, North Carolina",107431,5549,101882,86818,12120,652,560
37021,"Buncombe County, North Carolina",238318,14254,224064,201241,14979,778,2388
37023,"Burke County, North Carolina",90912,4634,86278,75472,5953,207,3163
37025,"Cabarrus County, North Carolina",178011,16767,161244,127526,26660,497,3460
37027,"Caldwell County, North Carolina",83029,3796,79233,73565,4025,159,421
37029,"Camden County, North Carolina",9980,215,9765,8103,1299,32,145
37031,"Carteret County, North Carolina",66469,2241,64228,58101,3986,283,576
37033,"Caswell County, North Carolina",23719,744,22975,14513,7991,70,60
37035,"Catawba County, North Carolina",154358,13032,141326,120388,12857,342,5311
37037,"Chatham County, North Carolina",63505,8228,55277,45185,8272,163,694
37039,"Cherokee County, North Carolina",27444,688,26756,25341,327,336,131
37041,"Chowan County, North Carolina",14793,467,14326,9040,5054,38,51
37043,"Clay County, North Carolina",10587,258,10329,10080,64,32,24
37045,"Cleveland County, North Carolina",98078,2756,95322,72793,20237,193,735
37047,"Columbus County, North Carolina",58098,2662,55436,35068,17587,1788,143
37049,"Craven County, North Carolina",103505,6272,97233,69425,22868,420,2058
37051,"Cumberland County, North Carolina",319431,30190,289241,150749,113939,4655,6885
37053,"Currituck County, North Carolina",23547,704,22843,20876,1348,103,141
37055,"Dare County, North Carolina",33920,2210,31710,30061,812,101,211
37057,"Davidson County, North Carolina",162878,10408,152470,133486,14269,634,1957
37059,"Davie County, North Carolina",41240,2496,38744,35257,2552,106,228
37061,"Duplin County, North Carolina",58505,12059,46446,30959,14640,173,135
37063,"Durham County, North Carolina",267587,36077,231510,112697,100260,722,12180
37065,"Edgecombe County, North Carolina",56552,2104,54448,21360,32318,128,113
37067,"Forsyth County, North Carolina",350670,41775,308895,205934,89533,894,6427
37069,"Franklin County, North Carolina",60619,4776,55843,38478,15995,253,272
37071,"Gaston County, North Carolina",206086,12201,193885,156310,31002,707,2462
37073,"Gates County, North Carolina",12197,173,12024,7684,4040,62,17
37075,"Graham County, North Carolina",8861,194,8667,7942,17,538,29
37077,"Granville County, North Carolina",59916,4482,55434,34550,19454,250,321
37079,"Greene County, North Carolina",21362,3054,18308,10038,7902,98,67
37081,"Guilford County, North Carolina",488406,34826,453580,265228,156982,2071,19059
37083,"Halifax County, North Carolina",54691,1152,53539,21569,28986,2008,357
37085,"Harnett County, North Carolina",114678,12359,102319,73707,23591,991,983
37087,"Haywood County, North Carolina",59036,1999,57037,55368,615,270,212
37089,"Henderson County, North Carolina",106740,10424,96316,90105,3149,318,994
37091,"Hertford County, North Carolina",24669,644,24025,8479,14845,271,127
37093,"Hoke County, North Carolina",46952,5823,41129,19142,15392,4313,467
37095,"Hyde County, North Carolina",5810,411,5399,3436,1833,22,16
37097,"Iredell County, North Carolina",159437,10844,148593,124107,18748,416,2899
37099,"Jackson County, North Carolina",40271,2038,38233,32795,729,3656,339
37101,"Johnston County, North Carolina",168878,21814,147064,117869,25082,689,976
37103,"Jones County, North Carolina",10153,398,9755,6217,3276,51,32
37105,"Lee County, North Carolina",57866,10576,47290,34321,11369,253,475
37107,"Lenoir County, North Carolina",59495,3917,55578,30492,23968,163,256
37109,"Lincoln County, North Carolina",78265,5238,73027,67139,4269,222,415
37111,"McDowell County, North Carolina",44996,2392,42604,39982,1663,131,344
37113,"Macon County, North Carolina",33922,2230,31692,30599,419,143,201
37115,"Madison County, North Carolina",20764,423,20341,19734,233,43,70
37117,"Martin County, North Carolina",24505,769,23736,12790,10601,65,71
37119,"Mecklenburg County, North Carolina",919628,111944,807684,465372,278042,2843,41991
37121,"Mitchell County, North Carolina",15579,631,14948,14656,53,36,46
37123,"Montgomery County, North Carolina",27798,3926,23872,17875,5182,102,439
37125,"Moore County, North Carolina",88247,5261,82986,68487,11727,689,736
37127,"Nash County, North Carolina",95840,6015,89825,51770,35449,567,713
37129,"New Hanover County, North Carolina",202667,10716,191951,155631,29469,798,2380
37131,"Northampton County, North Carolina",22099,305,21794,8596,12847,90,38
37133,"Onslow County, North Carolina",177772,17896,159876,122558,26577,1013,3163
37135,"Orange County, North Carolina",133801,11017,122784,94671,15722,383,8996
37137,"Pamlico County, North Carolina",13144,412,12732,9828,2618,72,48
37139,"Pasquotank County, North Carolina",40661,1642,39019,22369,15256,124,449
37141,"Pender County, North Carolina",52217,3194,49023,38568,9208,237,197
37143,"Perquimans County, North Carolina",13453,286,13167,9608,3328,39,36
37145,"Person County, North Carolina",39464,1593,37871,26354,10599,244,115
37147,"Pitt County, North Carolina",168148,9202,158946,96038,56813,474,2561
37149,"Polk County, North Carolina",20510,1122,19388,18126,911,41,60
37151,"Randolph County, North Carolina",141752,14698,127054,115205,7979,674,1406
37153,"Richmond County, North Carolina",46639,2741,43898,27369,14159,1069,419
37155,"Robeson County, North Carolina",134168,10932,123236,36160,32347,50866,971
37157,"Rockingham County, North Carolina",93643,5159,88484,68744,17529,307,423
37159,"Rowan County, North Carolina",138428,10644,127784,101986,22153,376,1353
37161,"Rutherford County, North Carolina",67810,2397,65413,57054,6804,156,289
37163,"Sampson County, North Carolina",63431,10440,52991,33754,16948,1130,217
37165,"Scotland County, North Carolina",36157,754,35403,16605,13884,3860,276
37167,"Stanly County, North Carolina",60585,2166,58419,49877,6590,175,1108
37169,"Stokes County, North Carolina",47401,1254,46147,43447,1897,138,125
37171,"Surry County, North Carolina",73673,7155,66518,62611,2644,173,339
37173,"Swain County, North Carolina",13981,540,13441,9168,75,3587,66
37175,"Transylvania County, North Carolina",33090,964,32126,30049,1279,93,143
37177,"Tyrrell County, North Carolina",4407,240,4167,2350,1677,7,80
37179,"Union County, North Carolina",201292,20967,180325,150098,23134,605,3243
37181,"Vance County, North Carolina",45422,3051,42371,19101,22477,79,199
37183,"Wake County, North Carolina",900993,87922,813071,560536,182793,2537,48287
37185,"Warren County, North Carolina",20972,692,20280,7971,10911,1026,49
37187,"Washington County, North Carolina",13228,466,12762,5998,6567,21,38
37189,"Watauga County, North Carolina",51079,1713,49366,47268,855,117,467
37191,"Wayne County, North Carolina",122623,12162,110461,68216,38107,333,1405
37193,"Wilkes County, North Carolina",69340,3772,65568,61587,2785,110,295
37195,"Wilson County, North Carolina",81234,7724,73510,40157,31462,190,664
37197,"Yadkin County, North Carolina",38406,3749,34657,33022,1165,66,71
37199,"Yancey County, North Carolina",17818,814,17004,16652,128,42,34